date,content,lang,sourceLabel,hashtags,user.verified,user.created,user.location,,,,,,,,,,,,,,,,,,,,,
21/08/2021,Beli Online jer product Nestle guys klik sini ya Follow Telegram saya ye thanks kerajaaangagal NCTJ RECORDSETTERJUNGKOOK CB Another soobin LawanTetapLawan,in,Twitter Web App,"['kerajaaangagal', 'NCTJ', 'RECORDSETTERJUNGKOOK', '81921CB23227', 'Another3', 'soobin', 'LawanTetapLawan']",FALSE,19/02/2016,Malaysia,,,,,,,,,,,,,,,,,,,,,
21/08/2021,Magic URL LAWAN LawanTetapLawan,en,Twitter for Android,"['LAWAN', 'LawanTetapLawan']",FALSE,19/05/2010,Newcastle upon Tyne,,,,,,,,,,,,,,,,,,,,,
21/08/2021,Yasss senang kerja next PRU nanti LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,28/09/2013,,,,,,,,,,,,,,,,,,,,,,
21/08/2021,subkhiddin Edie LawanTetapLawan,und,Twitter for Android,['LawanTetapLawan'],FALSE,17/06/2009,Malaysia,,,,,,,,,,,,,,,,,,,,,
21/08/2021,zack rockstar Kegagalan Kita bukan gagal zack kita berjaya tunjuk siapa BN skrg ni satu parti yg kemaruk dgn kuasa dan jawatan LAWAN LawanTetapLawan,in,Twitter for iPhone,"['LAWAN', 'LawanTetapLawan']",FALSE,17/10/2013,Permatang Pauh,,,,,,,,,,,,,,,,,,,,,
21/08/2021,kda fc All the best kdafc game mlm ni pulunkedahpulun lawantetaplawan,en,Twitter for iPhone,"['pulunkedahpulun', 'lawantetaplawan']",FALSE,01/02/2020,Utagha Malaysia🇲🇾,,,,,,,,,,,,,,,,,,,,,
21/08/2021,MyDSA official Move forward Sir LawanTetapLawan,en,Twitter for iPhone,['LawanTetapLawan'],FALSE,26/03/2021,,,,,,,,,,,,,,,,,,,,,,
21/08/2021,adzman LawanTetapLawan JalanTerus REFORMASI,und,Twitter for Android,"['LawanTetapLawan', 'JalanTerus', 'REFORMASI']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
21/08/2021,When Turkey a very secular country is scared and worried for us warning ppl you know somethings absolutely wrong We re fucked Big time Islamic state in the making Ismail sabri NotMyPM LAWAN umno LawanTetapLawan,en,Twitter for iPhone,"['NotMyPM', 'LAWAN', 'umno', 'LawanTetapLawan']",FALSE,12/08/2021,,,,,,,,,,,,,,,,,,,,,,
21/08/2021,PutraREFORMASI NotMyPM KerajaanGagal KerajaanGagalLagi LawanTetapLawan LTL,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagalLagi', 'LawanTetapLawan', 'LTL']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
21/08/2021,Reformasi LawanTetapLawan,lt,Twitter for Android,['LawanTetapLawan'],FALSE,04/07/2018,,,,,,,,,,,,,,,,,,,,,,
21/08/2021,Adey zuraida my Lu banyak free atau mau pegi sana terus kasi mampos IsmailSabri tolong pantau sikit ini pompuan AzminAli MuhyiddinYassin DrZahidHamidi PPBMofficial RakyatJagaRakyat mp PKR UMNO HarithIskander bawangmana malaysia LawanTetapLawan pru,in,Twitter for iPhone,"['RakyatJagaRakyat', 'mp', 'PKR', 'UMNO', 'bawangmana', 'malaysia', 'LawanTetapLawan', 'pru15']",FALSE,17/06/2021,,,,,,,,,,,,,,,,,,,,,,
